Brand,Sneaker Name,Sale Price,Retail Price,Shoe Size
 Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,1097,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,685,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Green,690,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,1075,220,11.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,828,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,355,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,382,220,11.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,405,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,365,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,389,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,430,220,6.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,374,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,355,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,365,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,350,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,340,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,365,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,353,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,378,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,353,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,366,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,395,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,389,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,369,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,380,220,11.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,396,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,391,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,361,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,369,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,10
